,character,line,episode number
0,JERRY," Do you know what this is all about? Do you know, why we’re here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about “We should go out”? This is what they’re talking about...this whole thing, we’re all out now, no one is home. Not one person here is home, we’re all out! There are people tryin’ to find us, they don’t know where we are.  “Did you ring?, I can’t find him.” “Where did he go?” “He didn’t tell me where he was going”. He must have gone out. You wanna go out",1
1,JERRY,"  See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It’s too high! It’s in no-man’s-land. You look like you live with your mother.",1
2,GEORGE, Are you through? ,1
3,JERRY," You do of course try on, when you buy?",1
4,GEORGE," Yes, it was purple, I liked it, I don’t actually recall considering the buttons.",1
5,JERRY," Oh, you don’t recall?",1
6,GEORGE,"  Uh, no, not at this time.",1
7,JERRY," Well, senator, I’d just like to know, what you knew and when you knew it.",1
8,CLAIRE, Mr. Seinfeld. Mr. Costanza. ,1
9,GEORGE," Are, are you sure this is decaf? Where’s the orange indicator?",1
10,CLAIRE," It’s missing, I have to do it in my head",1
11,JERRY," Can you relax, it’s a cup of coffee. Claire is a professional waitress.",1
12,CLAIRE, Trust me George. No one has any interest in seeing you on caffeine.,1
13,GEORGE, How come you’re not doin’ the second show tomorrow?,1
14,JERRY," Well, there’s this uh, woman might be comin’ in.",1
15,GEORGE," Wait a second, wait a second, what coming in, what woman is coming in?",1
16,JERRY," I told you about Laura, the girl I met in Michigan?",1
17,GEORGE," No, you didn’t!",1
18,JERRY," I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing... ",1
19,GEORGE, Ha.,1
20,JERRY,"  There’s no milk in here, what...",1
21,GEORGE," Wait wait wait, what is she...  What is she like?",1
22,JERRY," Oh, she’s really great. I mean, she’s got like a real warmth about her and she’s really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better.",1
23,GEORGE,"  So, you know, what, what happened?",1
24,JERRY," Oh, nothing happened, you know, but is was great.",1
25,GEORGE," Oh, nothing happened, but it was...",1
26,JERRY, Yeah.,1
27,GEORGE, This is great!,1
28,JERRY, Yeah.,1
29,GEORGE," So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!",1
30,JERRY," Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we’ll get together. ",1
31,GEORGE,"  Ho ho ho, ‘Had to’? ‘Had to’ come in?",1
32,JERRY," Yeah, but...",1
33,GEORGE, ‘Had to come in’ and ‘maybe we’ll get together’? ‘Had to’ and ‘maybe’?,1
34,JERRY, Yeah!,1
35,GEORGE," No...no...no, I hate to tell you this. You’re not gonna see this woman.",1
36,JERRY," What, are you serious...why, why did she call?",1
37,GEORGE," How do I know, maybe, you know, maybe she wanted to be polite. ",1
38,JERRY, To be polite? You are insane!,1
39,GEORGE," All right, all right, I didn’t want to tell you this. You wanna know why she called you?",1
40,JERRY, Yes!,1
41,GEORGE," You’re a back-up, you’re a second-line, a just-in-case, a B-plan, a contingency!",1
42,JERRY," Oh, I get it, this is about the button.",1
43,GEORGE," Claire, Claire, you’re a woman, right?",1
44,CLAIRE," What gave it away, George?",1
45,GEORGE," Uhm...I’d like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view.",1
46,GEORGE,"  Now, a woman calls me, all right? ",1
47,CLAIE, Uh huh.,1
48,GEORGE, She says she ‘has to’ come to New York on business...,1
49,JERRY, Oh you are beautiful!,1
50,GEORGE," ...and, and ‘maybe’ she’ll see me when she gets there, does this woman intend to spend time with me?",1
51,CLAIRE," I’d have to say, uuhh, no. ",1
52,CLAIRE, To be polite.,1
53,GEORGE, To be polite. I rest my case.,1
54,JERRY," Good. Did you have fun? You have no idea, what you’re talking about, now, come on, come with me.  I gotta go get my stuff out of the dryer anyway.",1
55,GEORGE, I’m not gonna watch you do laundry.,1
56,JERRY," Oh, come on, be a come-with guy.",1
57,GEORGE," Come on, I’m tired.",1
58,CLAIRE,"  Don’t worry, I gave him a little caffeine. He’ll perk up.",1
59,GEORGE,"  Right, I knew I felt something!",1
60,GEORGE, Jerry? I have to tell you something. This is the dullest moment I’ve ever experienced. ,1
61,JERRY," Well, look at this guy. Look, he’s got everything, he’s got detergents, sprays, fabric softeners.  This is not his first load.",1
62,GEORGE," I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped...",1
63,JERRY, And you didn’t even hear how she sounded.,1
64,GEORGE, What?!,1
65,JERRY, Laura.,1
66,GEORGE, I can’t believe-  WE ALREADY DISCUSSED THIS!,1
67,JERRY," Yeah, but how could you be so sure?",1
68,GEORGE," ‘Cause it’s signals, Jerry, it’s signals!  Don’t you- all right. Did she even ask you, what you were doin’ tomorrow night, if you were busy?",1
69,JERRY, No.,1
70,GEORGE, She calls you today and she doesn’t make a plan for tomorrow? What is that? It’s Saturday night!,1
71,JERRY, Yeah.,1
72,GEORGE," What is that? It’s ridiculous! You don’t even know what hotel she’s staying at, you can’t call her. That’s a signal, Jerry, that’s a signal!  Signal!",1
73,JERRY, Maybe you’re right.,1
74,GEORGE, Maybe I’m right? Of course I’m right.,1
75,JERRY," This is insane. You know, I don’t even know where she’s staying! She, she’s not gonna call me, this is unbelievable.",1
76,GEORGE," I know, I know. Listen, your stuff has to be done by now, why don’t you just see if it’s dry?",1
77,JERRY," No no no, don’t interrupt the cycle. The machine is working, it, it knows what it’s doing. Just let it finish.",1
78,GEORGE, You’re gonna overdry it.,1
79,JERRY," You, you can’t overdry.",1
80,GEORGE, Why not?,1
