,character,line,episode number
0,JERRY," Do you know what this is all about? Do you know, why we’re here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about “We should go out”? This is what they’re talking about...this whole thing, we’re all out now, no one is home. Not one person here is home, we’re all out! There are people tryin’ to find us, they don’t know where we are.  “Did you ring?, I can’t find him.” “Where did he go?” “He didn’t tell me where he was going”. He must have gone out. You wanna go out",1
1,JERRY,"  See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It’s too high! It’s in no-man’s-land. You look like you live with your mother.",1
2,GEORGE, Are you through? ,1
3,JERRY," You do of course try on, when you buy?",1
4,GEORGE," Yes, it was purple, I liked it, I don’t actually recall considering the buttons.",1
5,JERRY," Oh, you don’t recall?",1
6,GEORGE,"  Uh, no, not at this time.",1
7,JERRY," Well, senator, I’d just like to know, what you knew and when you knew it.",1
8,GEORGE," Are, are you sure this is decaf? Where’s the orange indicator?",1
9,JERRY," Can you relax, it’s a cup of coffee. Claire is a professional waitress.",1
10,GEORGE, How come you’re not doin’ the second show tomorrow?,1
11,JERRY," Well, there’s this uh, woman might be comin’ in.",1
12,GEORGE," Wait a second, wait a second, what coming in, what woman is coming in?",1
13,JERRY," I told you about Laura, the girl I met in Michigan?",1
14,GEORGE," No, you didn’t!",1
15,JERRY," I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing... ",1
16,GEORGE, Ha.,1
17,JERRY,"  There’s no milk in here, what...",1
18,GEORGE," Wait wait wait, what is she...  What is she like?",1
19,JERRY," Oh, she’s really great. I mean, she’s got like a real warmth about her and she’s really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better.",1
20,GEORGE,"  So, you know, what, what happened?",1
21,JERRY," Oh, nothing happened, you know, but is was great.",1
22,GEORGE," Oh, nothing happened, but it was...",1
23,JERRY, Yeah.,1
24,GEORGE, This is great!,1
25,JERRY, Yeah.,1
26,GEORGE," So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!",1
27,JERRY," Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we’ll get together. ",1
28,GEORGE,"  Ho ho ho, ‘Had to’? ‘Had to’ come in?",1
29,JERRY," Yeah, but...",1
30,GEORGE, ‘Had to come in’ and ‘maybe we’ll get together’? ‘Had to’ and ‘maybe’?,1
31,JERRY, Yeah!,1
32,GEORGE," No...no...no, I hate to tell you this. You’re not gonna see this woman.",1
33,JERRY," What, are you serious...why, why did she call?",1
34,GEORGE," How do I know, maybe, you know, maybe she wanted to be polite. ",1
35,JERRY, To be polite? You are insane!,1
36,GEORGE," All right, all right, I didn’t want to tell you this. You wanna know why she called you?",1
37,JERRY, Yes!,1
38,GEORGE," You’re a back-up, you’re a second-line, a just-in-case, a B-plan, a contingency!",1
39,JERRY," Oh, I get it, this is about the button.",1
40,GEORGE," Claire, Claire, you’re a woman, right?",1
41,GEORGE," Uhm...I’d like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view.",1
42,GEORGE,"  Now, a woman calls me, all right? ",1
43,GEORGE, She says she ‘has to’ come to New York on business...,1
44,JERRY, Oh you are beautiful!,1
45,GEORGE," ...and, and ‘maybe’ she’ll see me when she gets there, does this woman intend to spend time with me?",1
46,GEORGE, To be polite. I rest my case.,1
47,JERRY," Good. Did you have fun? You have no idea, what you’re talking about, now, come on, come with me.  I gotta go get my stuff out of the dryer anyway.",1
48,GEORGE, I’m not gonna watch you do laundry.,1
49,JERRY," Oh, come on, be a come-with guy.",1
50,GEORGE," Come on, I’m tired.",1
51,GEORGE,"  Right, I knew I felt something!",1
52,GEORGE, Jerry? I have to tell you something. This is the dullest moment I’ve ever experienced. ,1
53,JERRY," Well, look at this guy. Look, he’s got everything, he’s got detergents, sprays, fabric softeners.  This is not his first load.",1
54,GEORGE," I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped...",1
55,JERRY, And you didn’t even hear how she sounded.,1
56,GEORGE, What?!,1
57,JERRY, Laura.,1
58,GEORGE, I can’t believe-  WE ALREADY DISCUSSED THIS!,1
59,JERRY," Yeah, but how could you be so sure?",1
60,GEORGE," ‘Cause it’s signals, Jerry, it’s signals!  Don’t you- all right. Did she even ask you, what you were doin’ tomorrow night, if you were busy?",1
61,JERRY, No.,1
62,GEORGE, She calls you today and she doesn’t make a plan for tomorrow? What is that? It’s Saturday night!,1
63,JERRY, Yeah.,1
64,GEORGE," What is that? It’s ridiculous! You don’t even know what hotel she’s staying at, you can’t call her. That’s a signal, Jerry, that’s a signal!  Signal!",1
65,JERRY, Maybe you’re right.,1
66,GEORGE, Maybe I’m right? Of course I’m right.,1
67,JERRY," This is insane. You know, I don’t even know where she’s staying! She, she’s not gonna call me, this is unbelievable.",1
68,GEORGE," I know, I know. Listen, your stuff has to be done by now, why don’t you just see if it’s dry?",1
69,JERRY," No no no, don’t interrupt the cycle. The machine is working, it, it knows what it’s doing. Just let it finish.",1
70,GEORGE, You’re gonna overdry it.,1
71,JERRY," You, you can’t overdry.",1
72,GEORGE, Why not?,1
73,JERRY," Same as you can’t overwet. You see, once something is wet, it’s wet. Same thing with death. Like once you die you’re dead, right? Let’s say you drop dead and I shoot you. You’re not gonna die again, you’re already dead. You can’t overdie, you can’t overdry.",1
74,GEORGE,  Any questions?,1
75,JERRY, How could she not tell me where she was staying? ,1
76,GEORGE, Look at that. They’re done! ,1
